iter	Logloss
0	0.6874615337
1	0.6804752819
2	0.6752162434
3	0.66983113
4	0.6629717817
5	0.6567183666
6	0.6512120113
7	0.645746185
8	0.6415411774
9	0.6379407912
10	0.631951954
11	0.629504194
12	0.624878223
13	0.6175048397
14	0.6146297642
15	0.6100991435
16	0.6036019329
17	0.5956575528
18	0.5921500311
19	0.587241876
20	0.5820044484
21	0.577394047
22	0.5712465114
23	0.5633184257
24	0.5600503499
25	0.5561673997
26	0.5531797474
27	0.5479213303
28	0.5419671534
29	0.5384094711
30	0.5350669309
31	0.5294049496
32	0.5251724624
33	0.5225539557
34	0.5169783489
35	0.5139612838
36	0.5107767516
37	0.5056684714
38	0.5034066478
39	0.499529014
40	0.4958081454
41	0.4942437042
42	0.4900987652
43	0.4871975564
44	0.4856291106
45	0.4834057793
46	0.4787681053
47	0.4756637336
48	0.4710827106
49	0.4687613017
50	0.4653123987
51	0.4615147873
52	0.4592554838
53	0.4570370201
54	0.4543529903
55	0.4502619749
56	0.4464307734
57	0.4450009342
58	0.4434019363
59	0.4412129544
60	0.4376158478
61	0.4356130785
62	0.4327403851
63	0.4291642334
64	0.4267955292
65	0.4250127698
66	0.4207964734
67	0.4175010215
68	0.4141225092
69	0.4116874534
70	0.4083728071
71	0.405973102
72	0.4027264644
73	0.4005498415
74	0.3981283874
75	0.3949879055
76	0.3907912868
77	0.3882564274
78	0.3851714571
79	0.3816683198
80	0.3788403671
81	0.3766248723
82	0.3742953162
83	0.3729942446
84	0.3709809806
85	0.3685242103
86	0.3667473887
87	0.3650676089
88	0.3627457167
89	0.3601812373
90	0.3579673304
91	0.3564165945
92	0.3544607064
93	0.3516098655
94	0.3496446219
95	0.3483361625
96	0.3469591767
97	0.3457600491
98	0.3440929735
99	0.3423873711
